"IMAG1" "IMAG2" "IMAG3" "IMAG4" "IMAG5" "CUEX1" "CUEX2" "CUEX3" "PERQ1" "PERQ2" "PERQ3" "PERQ4" "PERQ5" "PERQ6" "PERQ7" "PERV1" "PERV2" "CUSA1" "CUSA2" "CUSA3" "CUSCO" "CUSL1" "CUSL2" "CUSL3"
"29" 66.67 77.78 77.78 66.67 66.67 55.56 66.67 66.67 77.78 66.67 77.78 66.67 66.67 66.67 77.78 66.67 77.78 77.78 66.67 66.67 66.67 88.89 44.44 77.78
"30" 100 100 77.78 100 100 66.67 100 100 100 100 88.89 100 88.89 100 88.89 77.78 100 100 100 88.89 77.78 100 77.78 100
"31" 88.89 88.89 44.44 66.67 77.78 55.56 77.78 66.67 88.89 88.89 77.78 88.89 77.78 88.89 77.78 77.78 88.89 88.89 77.78 77.78 77.78 77.78 22.22 100
"32" 66.67 66.67 66.67 66.67 66.67 66.67 66.67 55.56 77.78 66.67 66.67 77.78 77.78 66.67 66.67 44.44 44.44 77.78 44.44 44.44 22.22 44.44 22.22 33.33
"33" 88.89 66.67 66.67 100 100 44.44 100 44.44 44.44 66.67 100 44.44 66.67 66.67 100 44.44 100 66.67 44.44 88.89 66.67 100 0 100
"34" 77.78 77.78 66.67 100 77.78 66.67 66.67 100 100 55.56 100 100 100 100 66.67 77.78 66.67 55.56 88.89 100 100 100 22.22 77.78
"35" 66.67 100 44.44 55.56 44.44 100 44.44 100 44.44 0 44.44 44.44 44.44 44.44 0 0 0 66.67 22.22 0 0 0 44.44 0
"36" 100 66.67 66.67 100 100 100 77.78 100 77.78 33.33 100 33.33 100 100 77.78 77.78 66.67 66.67 66.67 66.67 100 66.67 11.11 77.78
"37" 66.67 88.89 55.56 55.56 55.56 66.67 55.56 88.89 88.89 100 55.56 88.89 66.67 88.89 44.44 22.22 44.44 66.67 66.67 22.22 0 22.22 55.56 11.11
"38" 77.78 66.67 66.67 44.44 77.78 77.78 66.67 44.44 77.78 66.67 66.67 77.78 66.67 66.67 66.67 55.56 44.44 77.78 44.44 66.67 66.67 88.89 22.22 55.56
"39" 100 100 44.44 66.67 66.67 77.78 66.67 66.67 88.89 100 88.89 100 88.89 100 77.78 88.89 88.89 100 66.67 88.89 100 100 100 88.89
"40" 55.56 66.67 77.78 66.67 77.78 66.67 66.67 77.78 77.78 66.67 66.67 77.78 77.78 77.78 66.67 55.56 77.78 77.78 66.67 66.67 55.56 100 33.33 88.89
"41" 77.78 77.78 44.44 77.78 100 100 100 100 77.78 100 100 100 88.89 100 66.67 77.78 77.78 100 88.89 88.89 100 77.78 22.22 100
"42" 66.67 77.78 66.67 88.89 88.89 88.89 77.78 66.67 88.89 66.67 88.89 77.78 77.78 77.78 88.89 77.78 66.67 77.78 66.67 88.89 44.44 88.89 100 77.78
"43" 77.78 66.67 100 100 100 44.44 66.67 44.44 100 77.78 100 100 88.89 77.78 100 77.78 100 100 100 77.78 100 100 11.11 100
"44" 55.56 55.56 66.67 66.67 55.56 77.78 66.67 66.67 66.67 77.78 77.78 77.78 44.44 77.78 66.67 33.33 44.44 66.67 66.67 77.78 33.33 55.56 11.11 88.89
"45" 100 100 77.78 100 100 77.78 88.89 100 100 100 100 100 88.89 88.89 100 77.78 100 100 100 100 100 77.78 66.67 100
"46" 100 55.56 66.67 100 100 77.78 77.78 100 100 66.67 100 88.89 100 100 100 77.78 66.67 88.89 77.78 77.78 77.78 66.67 55.56 0
"47" 100 77.78 44.44 77.78 66.67 77.78 66.67 100 88.89 100 88.89 77.78 66.67 77.78 77.78 11.11 44.44 77.78 55.56 66.67 100 44.44 11.11 66.67
"48" 66.67 66.67 66.67 77.78 66.67 66.67 77.78 44.44 77.78 77.78 77.78 66.67 77.78 77.78 77.78 66.67 77.78 77.78 66.67 77.78 88.89 77.78 66.67 77.78
"49" 55.56 77.78 0 11.11 44.44 55.56 100 44.44 55.56 66.67 0 66.67 55.56 55.56 11.11 22.22 33.33 55.56 44.44 33.33 22.22 33.33 0 33.33
"50" 44.44 100 0 44.44 88.89 100 77.78 0 55.56 88.89 88.89 100 88.89 88.89 66.67 0 11.11 66.67 33.33 55.56 100 33.33 11.11 66.67
"51" 77.78 100 66.67 100 77.78 77.78 77.78 100 77.78 55.56 100 66.67 77.78 77.78 100 33.33 66.67 77.78 100 77.78 100 100 22.22 77.78
"52" 77.78 66.67 66.67 77.78 66.67 55.56 55.56 77.78 77.78 55.56 66.67 66.67 55.56 66.67 55.56 44.44 55.56 66.67 55.56 66.67 66.67 55.56 11.11 66.67
"53" 77.78 66.67 77.78 66.67 66.67 77.78 44.44 88.89 88.89 100 66.67 88.89 66.67 77.78 77.78 77.78 77.78 88.89 77.78 66.67 44.44 66.67 22.22 100
"54" 44.44 77.78 0 100 66.67 100 77.78 77.78 77.78 77.78 77.78 100 77.78 55.56 55.56 77.78 66.67 77.78 66.67 66.67 77.78 77.78 55.56 77.78
"55" 66.67 77.78 66.67 66.67 66.67 66.67 66.67 44.44 66.67 66.67 66.67 77.78 66.67 77.78 77.78 77.78 66.67 77.78 55.56 66.67 66.67 66.67 33.33 66.67
"56" 66.67 44.44 66.67 66.67 77.78 88.89 77.78 55.56 66.67 66.67 88.89 66.67 77.78 66.67 77.78 77.78 66.67 77.78 66.67 66.67 55.56 66.67 11.11 66.67
"57" 77.78 88.89 11.11 66.67 88.89 66.67 44.44 77.78 77.78 44.44 55.56 44.44 55.56 44.44 11.11 44.44 44.44 44.44 11.11 55.56 66.67 44.44 100 44.44
"58" 88.89 88.89 77.78 77.78 100 66.67 66.67 88.89 88.89 66.67 100 100 77.78 77.78 100 77.78 77.78 88.89 77.78 77.78 88.89 77.78 33.33 77.78
"59" 88.89 100 66.67 100 77.78 100 77.78 77.78 100 88.89 77.78 88.89 77.78 88.89 77.78 77.78 88.89 100 77.78 100 100 100 44.44 100
"60" 66.67 66.67 66.67 77.78 66.67 55.56 77.78 44.44 77.78 66.67 77.78 66.67 66.67 77.78 77.78 55.56 55.56 77.78 66.67 66.67 44.44 66.67 55.56 44.44
"61" 66.67 55.56 77.78 44.44 66.67 88.89 88.89 0 55.56 66.67 55.56 55.56 66.67 66.67 55.56 33.33 33.33 55.56 33.33 55.56 33.33 66.67 11.11 33.33
"62" 77.78 77.78 33.33 77.78 66.67 66.67 44.44 66.67 77.78 88.89 88.89 66.67 66.67 88.89 88.89 66.67 66.67 88.89 66.67 66.67 66.67 77.78 66.67 77.78
"63" 66.67 66.67 77.78 77.78 88.89 88.89 66.67 88.89 66.67 66.67 77.78 77.78 77.78 77.78 77.78 88.89 77.78 77.78 66.67 77.78 88.89 66.67 22.22 88.89
"64" 77.78 77.78 0 44.44 77.78 55.56 66.67 77.78 77.78 77.78 22.22 33.33 66.67 77.78 44.44 44.44 55.56 66.67 44.44 66.67 55.56 100 66.67 55.56
"65" 66.67 77.78 77.78 77.78 33.33 88.89 66.67 77.78 77.78 66.67 77.78 77.78 88.89 55.56 66.67 55.56 66.67 66.67 66.67 55.56 55.56 11.11 44.44 22.22
"66" 77.78 88.89 55.56 88.89 77.78 77.78 77.78 66.67 77.78 88.89 77.78 88.89 88.89 88.89 88.89 11.11 55.56 88.89 66.67 55.56 55.56 55.56 11.11 55.56
"67" 77.78 33.33 88.89 77.78 55.56 77.78 100 77.78 77.78 77.78 77.78 100 77.78 100 100 66.67 66.67 77.78 77.78 66.67 66.67 66.67 88.89 55.56
"68" 66.67 66.67 66.67 66.67 66.67 77.78 77.78 77.78 55.56 44.44 77.78 66.67 77.78 66.67 66.67 44.44 44.44 55.56 0 33.33 33.33 0 66.67 33.33
"69" 77.78 66.67 55.56 77.78 88.89 88.89 55.56 66.67 77.78 66.67 66.67 77.78 88.89 88.89 77.78 55.56 66.67 77.78 66.67 77.78 66.67 88.89 66.67 77.78
"70" 77.78 66.67 44.44 77.78 77.78 77.78 66.67 77.78 66.67 77.78 77.78 88.89 77.78 77.78 88.89 55.56 55.56 66.67 55.56 66.67 100 66.67 22.22 77.78
"71" 66.67 88.89 66.67 77.78 88.89 66.67 66.67 77.78 77.78 77.78 77.78 88.89 88.89 77.78 88.89 66.67 66.67 88.89 66.67 77.78 66.67 66.67 22.22 88.89
"72" 100 100 44.44 77.78 77.78 100 100 100 100 88.89 88.89 100 100 88.89 77.78 66.67 66.67 100 55.56 88.89 100 44.44 33.33 77.78
"73" 88.89 100 66.67 66.67 100 77.78 100 66.67 77.78 100 100 100 100 100 100 0 0 100 100 100 100 0 44.44 0
"74" 44.44 66.67 66.67 44.44 66.67 77.78 55.56 33.33 66.67 66.67 44.44 66.67 66.67 66.67 55.56 66.67 66.67 66.67 55.56 44.44 44.44 66.67 55.56 44.44
"75" 77.78 66.67 66.67 66.67 66.67 77.78 100 100 66.67 66.67 77.78 66.67 77.78 66.67 77.78 66.67 66.67 66.67 0 66.67 55.56 100 44.44 44.44
"76" 33.33 55.56 33.33 44.44 66.67 77.78 11.11 88.89 77.78 66.67 55.56 66.67 77.78 77.78 55.56 33.33 33.33 66.67 55.56 55.56 66.67 77.78 44.44 55.56
"77" 66.67 66.67 66.67 66.67 77.78 88.89 88.89 100 66.67 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 66.67 55.56 88.89 88.89 77.78 33.33 88.89
"78" 55.56 55.56 77.78 66.67 66.67 55.56 44.44 44.44 66.67 55.56 33.33 66.67 55.56 55.56 66.67 44.44 44.44 77.78 66.67 55.56 44.44 100 55.56 77.78
"79" 66.67 77.78 77.78 77.78 66.67 77.78 55.56 66.67 77.78 66.67 66.67 77.78 66.67 77.78 77.78 55.56 55.56 77.78 55.56 66.67 66.67 77.78 55.56 77.78
"80" 77.78 66.67 66.67 55.56 66.67 66.67 77.78 66.67 77.78 66.67 66.67 77.78 77.78 77.78 55.56 66.67 66.67 66.67 77.78 66.67 66.67 77.78 0 77.78
"81" 77.78 88.89 77.78 77.78 88.89 88.89 77.78 88.89 88.89 88.89 88.89 100 88.89 88.89 88.89 66.67 66.67 77.78 88.89 77.78 66.67 77.78 100 100
"82" 77.78 66.67 66.67 88.89 77.78 77.78 55.56 33.33 77.78 77.78 77.78 77.78 66.67 66.67 66.67 66.67 77.78 77.78 33.33 77.78 77.78 88.89 55.56 77.78
"83" 77.78 88.89 66.67 88.89 77.78 77.78 77.78 77.78 88.89 77.78 100 88.89 88.89 66.67 88.89 66.67 77.78 88.89 88.89 100 77.78 100 55.56 100
"84" 66.67 55.56 55.56 66.67 77.78 66.67 66.67 55.56 77.78 66.67 77.78 77.78 88.89 66.67 66.67 55.56 66.67 77.78 55.56 55.56 55.56 66.67 33.33 55.56
"85" 66.67 66.67 33.33 77.78 77.78 77.78 55.56 77.78 77.78 77.78 77.78 66.67 77.78 66.67 66.67 55.56 66.67 77.78 66.67 55.56 77.78 77.78 33.33 44.44
"86" 77.78 55.56 77.78 77.78 88.89 77.78 44.44 22.22 66.67 44.44 88.89 88.89 88.89 77.78 100 33.33 77.78 66.67 88.89 66.67 66.67 88.89 33.33 44.44
"87" 88.89 88.89 55.56 77.78 88.89 88.89 77.78 100 88.89 88.89 77.78 77.78 88.89 88.89 88.89 77.78 88.89 77.78 88.89 100 88.89 100 22.22 100
"88" 88.89 77.78 66.67 88.89 88.89 88.89 100 77.78 88.89 77.78 88.89 88.89 88.89 88.89 88.89 88.89 88.89 77.78 66.67 88.89 88.89 100 77.78 77.78
"89" 66.67 77.78 55.56 88.89 77.78 77.78 66.67 77.78 88.89 77.78 77.78 66.67 66.67 88.89 66.67 66.67 77.78 88.89 77.78 77.78 100 100 11.11 100
"90" 66.67 77.78 66.67 100 77.78 66.67 66.67 66.67 77.78 88.89 100 77.78 100 88.89 88.89 66.67 77.78 66.67 88.89 77.78 88.89 77.78 88.89 88.89
"91" 88.89 100 100 77.78 77.78 77.78 77.78 77.78 88.89 100 88.89 100 100 77.78 88.89 77.78 77.78 100 77.78 66.67 100 100 100 77.78
"92" 77.78 77.78 55.56 66.67 66.67 77.78 66.67 66.67 66.67 77.78 55.56 77.78 66.67 55.56 66.67 55.56 66.67 77.78 77.78 66.67 55.56 55.56 22.22 77.78
"93" 77.78 77.78 77.78 88.89 88.89 77.78 88.89 66.67 88.89 77.78 88.89 77.78 88.89 77.78 88.89 66.67 77.78 77.78 88.89 88.89 88.89 100 11.11 88.89
"94" 55.56 77.78 66.67 66.67 88.89 55.56 77.78 55.56 77.78 44.44 77.78 100 77.78 66.67 55.56 77.78 55.56 66.67 77.78 66.67 66.67 77.78 100 44.44
"95" 11.11 66.67 66.67 11.11 44.44 66.67 44.44 66.67 33.33 77.78 11.11 22.22 33.33 33.33 33.33 33.33 33.33 44.44 11.11 22.22 0 0 11.11 0
"96" 88.89 88.89 100 100 88.89 66.67 77.78 100 88.89 77.78 100 66.67 88.89 77.78 88.89 77.78 100 77.78 77.78 100 88.89 100 77.78 88.89
"97" 88.89 77.78 66.67 66.67 66.67 77.78 44.44 77.78 88.89 77.78 66.67 88.89 77.78 88.89 100 88.89 77.78 77.78 77.78 88.89 77.78 88.89 55.56 88.89
"98" 66.67 66.67 55.56 66.67 66.67 66.67 55.56 77.78 77.78 77.78 66.67 66.67 55.56 66.67 66.67 66.67 66.67 77.78 55.56 66.67 66.67 66.67 22.22 77.78
"99" 77.78 55.56 22.22 66.67 66.67 66.67 55.56 44.44 77.78 55.56 66.67 66.67 66.67 66.67 66.67 44.44 66.67 77.78 66.67 66.67 66.67 66.67 22.22 44.44
"100" 100 100 66.67 100 66.67 66.67 66.67 88.89 100 77.78 100 100 66.67 100 100 66.67 66.67 77.78 88.89 88.89 100 66.67 100 100
"101" 77.78 77.78 44.44 77.78 77.78 77.78 44.44 77.78 77.78 66.67 77.78 77.78 77.78 66.67 77.78 66.67 77.78 77.78 44.44 66.67 77.78 77.78 22.22 44.44
"102" 77.78 77.78 66.67 77.78 77.78 77.78 77.78 66.67 77.78 66.67 77.78 66.67 77.78 77.78 66.67 66.67 66.67 77.78 77.78 66.67 66.67 66.67 55.56 66.67
"103" 100 66.67 11.11 77.78 66.67 77.78 66.67 77.78 88.89 88.89 44.44 88.89 77.78 66.67 77.78 66.67 77.78 77.78 77.78 77.78 77.78 88.89 11.11 100
"104" 66.67 55.56 66.67 66.67 55.56 66.67 66.67 55.56 66.67 55.56 77.78 55.56 66.67 55.56 66.67 55.56 66.67 100 55.56 77.78 66.67 44.44 77.78 77.78
"105" 100 100 77.78 77.78 88.89 88.89 66.67 66.67 88.89 88.89 77.78 88.89 77.78 100 88.89 77.78 77.78 100 66.67 77.78 77.78 100 55.56 100
"106" 66.67 22.22 66.67 22.22 88.89 66.67 11.11 77.78 55.56 66.67 88.89 66.67 88.89 66.67 66.67 44.44 44.44 66.67 44.44 44.44 100 44.44 22.22 66.67
"107" 100 44.44 44.44 44.44 77.78 100 100 100 100 44.44 44.44 100 44.44 100 100 100 77.78 100 77.78 77.78 77.78 77.78 22.22 77.78
"108" 77.78 88.89 77.78 66.67 77.78 66.67 77.78 77.78 77.78 66.67 77.78 77.78 77.78 77.78 66.67 22.22 66.67 77.78 77.78 88.89 77.78 77.78 22.22 88.89
"109" 66.67 100 66.67 100 100 100 0 66.67 100 100 100 0 100 0 100 77.78 77.78 77.78 66.67 77.78 11.11 100 33.33 100
"110" 77.78 77.78 66.67 77.78 88.89 77.78 88.89 77.78 88.89 66.67 77.78 77.78 77.78 77.78 77.78 66.67 77.78 100 77.78 100 100 100 66.67 100
"111" 44.44 55.56 44.44 77.78 77.78 77.78 77.78 44.44 66.67 88.89 66.67 77.78 88.89 88.89 77.78 44.44 66.67 88.89 77.78 66.67 66.67 88.89 11.11 77.78
"112" 88.89 88.89 100 77.78 88.89 88.89 77.78 88.89 88.89 88.89 66.67 88.89 77.78 88.89 77.78 66.67 88.89 77.78 55.56 77.78 77.78 100 11.11 88.89
"113" 88.89 77.78 77.78 88.89 77.78 88.89 100 88.89 88.89 77.78 88.89 88.89 88.89 88.89 88.89 88.89 77.78 88.89 88.89 88.89 100 100 100 100
"114" 77.78 100 77.78 100 77.78 77.78 77.78 100 100 100 100 100 100 100 100 77.78 77.78 100 77.78 100 100 100 33.33 100
"115" 100 77.78 66.67 100 88.89 66.67 100 77.78 77.78 66.67 100 100 100 100 100 77.78 77.78 77.78 77.78 100 100 77.78 55.56 100
"116" 66.67 77.78 100 77.78 100 44.44 100 100 77.78 66.67 33.33 44.44 77.78 66.67 66.67 11.11 44.44 77.78 44.44 44.44 44.44 77.78 100 88.89
"117" 88.89 100 100 88.89 66.67 44.44 0 88.89 66.67 77.78 88.89 88.89 88.89 100 100 100 100 77.78 100 100 100 100 55.56 100
"118" 100 100 100 100 100 100 100 100 100 88.89 66.67 100 100 88.89 100 77.78 77.78 100 66.67 77.78 88.89 100 11.11 100
"119" 77.78 88.89 77.78 88.89 88.89 100 77.78 100 100 66.67 100 88.89 100 88.89 88.89 88.89 88.89 77.78 77.78 88.89 77.78 100 100 66.67
"120" 77.78 100 100 100 100 100 77.78 66.67 77.78 77.78 77.78 77.78 77.78 77.78 100 77.78 77.78 77.78 100 100 77.78 100 100 77.78
"121" 88.89 100 66.67 77.78 77.78 88.89 77.78 100 77.78 77.78 77.78 88.89 88.89 77.78 77.78 66.67 77.78 88.89 100 44.44 77.78 55.56 11.11 66.67
"122" 66.67 44.44 77.78 55.56 66.67 88.89 77.78 55.56 77.78 77.78 66.67 44.44 66.67 66.67 77.78 11.11 33.33 44.44 66.67 44.44 44.44 100 22.22 0
"123" 100 100 100 100 100 100 100 77.78 100 100 100 100 100 100 100 100 100 100 100 100 100 100 77.78 100
"124" 66.67 66.67 22.22 44.44 44.44 77.78 88.89 33.33 55.56 33.33 55.56 66.67 66.67 44.44 55.56 44.44 55.56 66.67 33.33 55.56 33.33 77.78 44.44 77.78
"125" 66.67 44.44 66.67 66.67 77.78 55.56 44.44 88.89 55.56 22.22 44.44 22.22 66.67 33.33 88.89 55.56 66.67 77.78 44.44 66.67 66.67 77.78 22.22 55.56
"126" 66.67 66.67 44.44 0 11.11 77.78 55.56 66.67 77.78 77.78 66.67 88.89 66.67 77.78 88.89 44.44 44.44 55.56 66.67 66.67 33.33 11.11 22.22 33.33
"127" 88.89 100 88.89 100 88.89 100 88.89 88.89 100 77.78 88.89 88.89 88.89 88.89 88.89 88.89 88.89 88.89 100 88.89 88.89 100 100 88.89
"128" 55.56 55.56 66.67 77.78 77.78 66.67 55.56 55.56 77.78 66.67 77.78 77.78 66.67 77.78 77.78 44.44 55.56 77.78 77.78 66.67 66.67 77.78 22.22 66.67
"129" 77.78 44.44 66.67 66.67 66.67 77.78 66.67 66.67 66.67 44.44 88.89 66.67 77.78 66.67 77.78 44.44 44.44 66.67 55.56 55.56 55.56 0 100 77.78
"130" 77.78 77.78 77.78 77.78 77.78 66.67 66.67 77.78 66.67 55.56 77.78 77.78 77.78 77.78 66.67 66.67 66.67 77.78 66.67 66.67 66.67 66.67 11.11 77.78
"131" 44.44 100 100 44.44 44.44 100 44.44 77.78 77.78 66.67 44.44 77.78 44.44 77.78 77.78 44.44 100 44.44 66.67 100 0 100 0 77.78
"132" 66.67 88.89 0 44.44 88.89 66.67 55.56 100 77.78 44.44 55.56 66.67 77.78 66.67 77.78 33.33 33.33 66.67 44.44 44.44 55.56 33.33 100 44.44
"133" 44.44 55.56 44.44 44.44 55.56 44.44 100 0 11.11 33.33 44.44 33.33 55.56 44.44 55.56 44.44 44.44 55.56 44.44 44.44 55.56 100 100 100
"134" 77.78 100 100 77.78 100 100 100 33.33 77.78 77.78 100 100 100 100 77.78 100 77.78 55.56 77.78 77.78 100 100 11.11 77.78
"135" 77.78 55.56 100 55.56 88.89 66.67 66.67 44.44 77.78 22.22 77.78 77.78 88.89 66.67 66.67 55.56 66.67 77.78 66.67 66.67 44.44 77.78 11.11 66.67
"136" 77.78 88.89 66.67 66.67 88.89 77.78 22.22 66.67 100 77.78 88.89 66.67 88.89 88.89 66.67 77.78 77.78 77.78 77.78 77.78 44.44 100 44.44 100
"137" 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
"138" 77.78 88.89 77.78 66.67 66.67 77.78 77.78 66.67 77.78 66.67 100 77.78 77.78 66.67 77.78 55.56 77.78 100 77.78 77.78 88.89 77.78 100 100
"139" 77.78 88.89 88.89 77.78 100 88.89 88.89 77.78 88.89 88.89 100 88.89 77.78 88.89 88.89 0 88.89 100 100 88.89 66.67 66.67 22.22 88.89
"140" 100 77.78 44.44 77.78 77.78 77.78 88.89 77.78 77.78 77.78 77.78 77.78 55.56 100 77.78 66.67 100 77.78 77.78 77.78 55.56 100 55.56 77.78
"141" 100 88.89 66.67 100 100 88.89 66.67 66.67 77.78 66.67 100 88.89 77.78 77.78 88.89 88.89 55.56 88.89 77.78 88.89 100 77.78 22.22 100
"142" 77.78 88.89 66.67 77.78 77.78 77.78 77.78 66.67 77.78 77.78 77.78 88.89 66.67 77.78 77.78 66.67 66.67 77.78 77.78 66.67 66.67 100 100 100
"143" 44.44 66.67 44.44 55.56 66.67 33.33 77.78 44.44 44.44 77.78 55.56 66.67 66.67 66.67 55.56 33.33 44.44 44.44 44.44 44.44 66.67 44.44 0 55.56
"144" 100 77.78 77.78 100 77.78 66.67 100 77.78 88.89 66.67 66.67 77.78 77.78 66.67 66.67 11.11 77.78 77.78 77.78 77.78 77.78 100 55.56 77.78
"145" 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 11.11 100
"146" 44.44 77.78 44.44 66.67 66.67 77.78 77.78 100 88.89 77.78 88.89 88.89 88.89 88.89 88.89 88.89 88.89 100 77.78 77.78 88.89 22.22 33.33 100
"147" 44.44 66.67 77.78 33.33 44.44 44.44 77.78 77.78 44.44 44.44 33.33 33.33 66.67 44.44 44.44 44.44 33.33 55.56 44.44 33.33 11.11 44.44 44.44 33.33
"148" 77.78 77.78 44.44 66.67 66.67 55.56 55.56 33.33 77.78 77.78 77.78 77.78 77.78 88.89 77.78 55.56 66.67 77.78 77.78 66.67 55.56 66.67 33.33 66.67
"149" 77.78 77.78 0 55.56 44.44 22.22 33.33 77.78 44.44 77.78 44.44 77.78 33.33 33.33 44.44 44.44 44.44 66.67 44.44 100 66.67 44.44 11.11 44.44
